1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
18   |       11100       |    784  |   21    |    2
19   |       01011       |    121  |   23    |   23
20   |       01101       |    169  |   32    |   19
21   |       01001       |     81  |   28    |   16
22   |       01111       |    225  |   20    |   10
23   |       10101       |    441  |    1    |    6
24   |       00110       |     36  |   26    |    4
25   |       10111       |    529  |    6    |   30
26   |       01011       |    121  |   18    |   32
27   |       10011       |    361  |    7    |   22
28   |       10000       |    256  |   30    |   25
29   |       00001       |      1  |    5    |    5
30   |       10111       |    529  |   17    |    1
31   |       01001       |     81  |   10    |   12
32   |       00100       |     16  |   13    |   20


1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       11010       |    676  |   17    |   18
2   |       01010       |    100  |   11    |    2
3   |       01110       |    196  |   14    |   16
4   |       01001       |     81  |   25    |   28
5   |       00001       |      1  |    3    |    1
6   |       10101       |    441  |   20    |    3
7   |       00010       |      4  |   24    |   31
8   |       00010       |      4  |   19    |   14
9   |       10010       |    324  |   31    |   13
10   |       00111       |     49  |   16    |    6
11   |       11100       |    784  |   18    |   26
12   |       10101       |    441  |    5    |   20
13   |       00100       |     16  |    7    |    9
14   |       00001       |      1  |    6    |   32
15   |       11110       |    900  |    1    |   21
16   |       10001       |    289  |   13    |   10
17   |       10100       |    400  |   10    |   27
18   |       01011       |    121  |   28    |   30
19   |       00111       |     49  |    4    |   23
20   |       00101       |     25  |   22    |    5
21   |       11000       |    576  |    9    |   12
22   |       11011       |    729  |   12    |   19
23   |       11110       |    900  |   26    |   22
24   |       11000       |    576  |   27    |   15
25   |       10000       |    256  |    8    |    4
26   |       01010       |    100  |   21    |   25
27   |       01110       |    196  |   15    |    7
28   |       01111       |    225  |    2    |   17
29   |       01111       |    225  |   30    |   29
30   |       01100       |    144  |   29    |    8
31   |       10000       |    256  |   23    |   24
32   |       00100       |     16  |   32    |   11


5a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       00010       |      4  |   30    |    5
2   |       11000       |    576  |   10    |    6
3   |       11001       |    625  |   27    |   21
4   |       01110       |    196  |   26    |    1
5   |       00011       |      9  |   24    |    4
6   |       00100       |     16  |   29    |   27
7   |       10110       |    484  |   31    |   13
8   |       10100       |    400  |   20    |   25
9   |       01111       |    225  |   21    |   12
10   |       00011       |      9  |   11    |   28
11   |       11111       |    961  |   17    |   19
12   |       00010       |      4  |   32    |    2
13   |       00010       |      4  |   19    |   18
14   |       10100       |    400  |    8    |   32
15   |       00101       |     25  |   16    |   29
16   |       00010       |      4  |   13    |   24
17   |       10111       |    529  |    3    |   14
18   |       01111       |    225  |   15    |    8
19   |       01011       |    121  |    7    |   20
20   |       11011       |    729  |   28    |   30
21   |       10100       |    400  |    2    |   11
22   |       00010       |      4  |   18    |   22
23   |       01101       |    169  |    4    |   16
24   |       11010       |    676  |    5    |    9
25   |       10101       |    441  |   14    |   31
26   |       10001       |    289  |    1    |    7
27   |       00001       |      1  |   22    |   23
28   |       01101       |    169  |    6    |   26
29   |       10110       |    484  |   25    |   15
30   |       10101       |    441  |   23    |    3
31   |       00010       |      4  |   12    |   17
32   |       10100       |    400  |    9    |   10


1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       01010       |    100  |   29    |    8
2   |       00111       |     49  |   13    |   17
3   |       01110       |    196  |   10    |   11
4   |       10110       |    484  |   26    |   12
5   |       01101       |    169  |    6    |    7
6   |       01010       |    100  |   20    |   18
7   |       10111       |    529  |    7    |   20
8   |       01100       |    144  |   24    |   25
9   |       01000       |     64  |   22    |   26
10   |       00110       |     36  |   21    |   21
11   |       11110       |    900  |   11    |   32
12   |       00101       |     25  |   30    |    1
13   |       11000       |    576  |   31    |    6
14   |       01011       |    121  |   27    |    2
15   |       11001       |    625  |    2    |   27
16   |       11000       |    576  |    9    |   16
17   |       01000       |     64  |   28    |    9
18   |       11100       |    784  |   32    |   22
19   |       01101       |    169  |   23    |   10
20   |       11100       |    784  |    8    |   24
21   |       10011       |    361  |   25    |   31
22   |       10101       |    441  |    3    |    3
23   |       10101       |    441  |   14    |   29
24   |       10100       |    400  |   19    |   15
25   |       10011       |    361  |   12    |   28
26   |       00111       |     49  |   16    |   14
27   |       00100       |     16  |    1    |    4
28   |       00111       |     49  |    5    |   19
29   |       11101       |    841  |   18    |   30
30   |       01111       |    225  |   15    |   23
31   |       00011       |      9  |   17    |    5
32   |       00101       |     25  |    4    |   13


10a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       10011       |    361  |   16    |   27
2   |       11100       |    784  |   20    |   11
3   |       00011       |      9  |   11    |    7
4   |       01100       |    144  |   21    |   28
5   |       00010       |      4  |   24    |   18
6   |       01100       |    144  |    9    |   31
7   |       11011       |    729  |   25    |   24
8   |       00001       |      1  |   19    |   26
9   |       01100       |    144  |   18    |   22
10   |       10000       |    256  |   13    |    4
11   |       10001       |    289  |    8    |   10
12   |       01001       |     81  |    3    |    8
13   |       10100       |    400  |   31    |   15
14   |       10110       |    484  |   26    |   21
15   |       10111       |    529  |    6    |   20
16   |       11000       |    576  |   23    |   16
17   |       00110       |     36  |   29    |   32
18   |       11110       |    900  |    7    |   23
19   |       10000       |    256  |   27    |   19
20   |       00101       |     25  |   30    |    1
21   |       01000       |     64  |    2    |   13
22   |       01001       |     81  |   28    |    2
23   |       00111       |     49  |   17    |    6
24   |       01100       |    144  |    1    |    3
25   |       11111       |    961  |    5    |   12
26   |       10010       |    324  |   14    |   30
27   |       10110       |    484  |   32    |   14
28   |       11001       |    625  |    4    |   29
29   |       11110       |    900  |   15    |   25
30   |       10100       |    400  |   22    |    9
31   |       00101       |     25  |   12    |   17
32   |       11110       |    900  |   10    |    5


1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       00111       |     49  |   12    |   10
2   |       00001       |      1  |    5    |   23
3   |       11111       |    961  |   32    |    6
4   |       00001       |      1  |    9    |   16
5   |       11111       |    961  |   17    |    3
6   |       11000       |    576  |   27    |   22
7   |       10000       |    256  |    6    |   13
8   |       10000       |    256  |   30    |    2
9   |       11010       |    676  |    1    |   20
10   |       10100       |    400  |    4    |   29
11   |       01011       |    121  |   11    |   14
12   |       10101       |    441  |   28    |   18
13   |       11010       |    676  |   14    |   27
14   |       01100       |    144  |   23    |    4
15   |       10100       |    400  |   13    |   11
16   |       01111       |    225  |   16    |   21
17   |       10000       |    256  |   10    |    7
18   |       00100       |     16  |   29    |   12
19   |       10101       |    441  |   20    |   32
20   |       10010       |    324  |   21    |   25
21   |       10010       |    324  |    7    |    8
22   |       10111       |    529  |    3    |   19
23   |       00001       |      1  |   26    |   26
24   |       10010       |    324  |   22    |   15
25   |       10001       |    289  |   19    |    1
26   |       10011       |    361  |    2    |   17
27   |       10101       |    441  |   25    |   31
28   |       11011       |    729  |   31    |   28
29   |       00011       |      9  |   18    |   24
30   |       11111       |    961  |   15    |   30
31   |       00001       |      1  |   24    |    5
32   |       10000       |    256  |    8    |    9


10a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       01110       |    196  |   12    |   18
2   |       00010       |      4  |   17    |   30
3   |       10101       |    441  |   24    |   20
4   |       00100       |     16  |    4    |   19
5   |       10010       |    324  |   18    |    6
6   |       01111       |    225  |   23    |   14
7   |       01010       |    100  |   11    |   32
8   |       00111       |     49  |   15    |   23
9   |       00100       |     16  |   19    |   25
10   |       11010       |    676  |    9    |   17
11   |       11011       |    729  |   20    |    2
12   |       01111       |    225  |   28    |   21
13   |       10101       |    441  |   27    |   22
14   |       10001       |    289  |   13    |   15
15   |       00110       |     36  |    7    |   26
16   |       00001       |      1  |   29    |    3
17   |       11111       |    961  |   22    |   27
18   |       11010       |    676  |   21    |    7
19   |       01010       |    100  |    3    |   10
20   |       01001       |     81  |   30    |   29
21   |       10111       |    529  |   32    |   31
22   |       00111       |     49  |   10    |    8
23   |       10010       |    324  |   16    |   16
24   |       10010       |    324  |    2    |    5
25   |       11110       |    900  |    6    |   13
26   |       11100       |    784  |   25    |   24
27   |       10000       |    256  |   31    |   11
28   |       10001       |    289  |   26    |    9
29   |       00011       |      9  |    8    |    4
30   |       11010       |    676  |   14    |   12
31   |       00111       |     49  |    1    |   28
32   |       11011       |    729  |    5    |    1


